DATA,REPL,NRET,MTHD,BIPA,BIPB,BRLN,BRLN_MAP_GT,BRLN_MLE_GT,BRLN_MLE_RI,Q1,Q2,Q3,EN,PP
5taxa,16,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.011114,0.011167,0.011176,0.011114,0.340742,0.331294,0.327964,60063.000000,0.999765
5taxa,16,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.006590,0.006603,0.006612,0.006590,0.337727,0.331728,0.330545,60016.000000,0.964126
5taxa,17,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.010676,0.010724,0.010732,0.010676,0.340450,0.329696,0.329854,60117.500000,0.999616
5taxa,17,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.008520,0.008548,0.008557,0.008520,0.339013,0.329655,0.331332,59946.000000,0.994429
5taxa,18,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.007695,0.007716,0.007725,0.007695,0.338463,0.331222,0.330315,60073.000000,0.987242
5taxa,18,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.006265,0.006276,0.006285,0.006265,0.337510,0.330715,0.331775,59894.500000,0.952898
5taxa,19,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.009801,0.009840,0.009848,0.009801,0.339867,0.330533,0.329601,60101.500000,0.998795
5taxa,19,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.013227,0.013305,0.013314,0.013227,0.342150,0.331477,0.326373,59959.000000,0.999989
5taxa,20,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.011702,0.011762,0.011770,0.011702,0.341134,0.327434,0.331432,60143.500000,0.999896
5taxa,20,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.007993,0.008016,0.008025,0.007993,0.338662,0.330406,0.330932,59900.500000,0.990513
5taxa,21,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.011329,0.011385,0.011393,0.011329,0.340886,0.329802,0.329312,60268.000000,0.999847
5taxa,21,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.005705,0.005713,0.005722,0.005705,0.337137,0.331427,0.331436,59901.500000,0.928536
5taxa,22,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.006979,0.006994,0.007003,0.006979,0.337986,0.332340,0.329675,60042.500000,0.972472
5taxa,22,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.009892,0.009932,0.009941,0.009892,0.339928,0.329944,0.330128,59949.500000,0.998918
5taxa,23,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.013896,0.013983,0.013992,0.013896,0.342596,0.329048,0.328356,60006.500000,0.999997
5taxa,23,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.007735,0.007756,0.007765,0.007735,0.338490,0.330559,0.330951,60084.500000,0.987855
5taxa,24,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.011386,0.011442,0.011451,0.011386,0.340924,0.328143,0.330934,60010.500000,0.999844
5taxa,24,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.008827,0.008858,0.008866,0.008827,0.339218,0.329618,0.331164,59845.000000,0.996025
5taxa,25,100000,astral-bp,"Out,TaxonC,TaxonD","TaxonA,TaxonB",0.008169,0.008194,0.008203,0.008169,0.338779,0.328810,0.332411,59981.500000,0.990807
5taxa,25,100000,astral-bp,"Out,TaxonD","TaxonA,TaxonB,TaxonC",0.008917,0.008948,0.008956,0.008917,0.339278,0.331455,0.329268,59890.500000,0.996322
6taxa,NA,NA,true,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.010000,NA,NA,NA,NA,NA,NA,NA,NA
6taxa,NA,NA,true,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.010000,NA,NA,NA,NA,NA,NA,NA,NA
6taxa,NA,NA,true,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.100000,NA,NA,NA,NA,NA,NA,NA,NA
6taxa,1,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.099607,0.104381,0.104395,0.099607,0.399421,0.299761,0.300818,46364.666667,1.000000
6taxa,1,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.007234,0.007249,0.007261,0.007234,0.338156,0.330884,0.330960,45927.000000,0.956194
6taxa,1,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011153,0.011204,0.011215,0.011153,0.340768,0.331300,0.327931,46012.666667,0.998620
6taxa,2,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.100605,0.105474,0.105488,0.100605,0.400077,0.301081,0.298842,46147.000000,1.000000
6taxa,2,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.009818,0.009855,0.009866,0.009818,0.339879,0.331207,0.328914,46127.500000,0.994885
6taxa,2,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.014317,0.014408,0.014419,0.014317,0.342877,0.329119,0.328004,46034.000000,0.999974
6taxa,3,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.103438,0.108580,0.108595,0.103438,0.401937,0.297691,0.300372,46246.000000,1.000000
6taxa,3,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.009044,0.009074,0.009085,0.009044,0.339363,0.329037,0.331600,45955.250000,0.989164
6taxa,3,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.008907,0.008935,0.008946,0.008907,0.339271,0.331573,0.329156,46202.000000,0.988089
6taxa,4,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.098261,0.102910,0.102924,0.098261,0.398536,0.299039,0.302425,46363.000000,1.000000
6taxa,4,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.012858,0.012929,0.012940,0.012858,0.341904,0.329446,0.328649,46114.500000,0.999827
6taxa,4,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.010303,0.010344,0.010356,0.010303,0.340201,0.329747,0.330051,46107.000000,0.996966
6taxa,5,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.101294,0.106229,0.106243,0.101294,0.400529,0.299324,0.300146,46229.666667,1.000000
6taxa,5,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.009677,0.009713,0.009724,0.009677,0.339785,0.330772,0.329444,45934.250000,0.994214
6taxa,5,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011676,0.011733,0.011744,0.011676,0.341117,0.328853,0.330030,45879.666667,0.999272
6taxa,6,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.097031,0.101565,0.101579,0.097031,0.397727,0.302179,0.300094,46190.000000,1.000000
6taxa,6,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.010424,0.010467,0.010478,0.010424,0.340282,0.330813,0.328905,45989.750000,0.997198
6taxa,6,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.013515,0.013594,0.013606,0.013515,0.342342,0.328742,0.328916,45954.000000,0.999923
6taxa,7,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.105081,0.110385,0.110399,0.105081,0.403016,0.298803,0.298182,46158.666667,1.000000
6taxa,7,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.011692,0.011749,0.011760,0.011692,0.341128,0.329626,0.329246,46038.500000,0.999308
6taxa,7,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.011325,0.011378,0.011389,0.011325,0.340883,0.328066,0.331051,46108.666667,0.998894
6taxa,8,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.104812,0.110089,0.110104,0.104812,0.402839,0.301531,0.295630,46376.666667,1.000000
6taxa,8,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.010847,0.010895,0.010906,0.010847,0.340564,0.329965,0.329471,46039.750000,0.998255
6taxa,8,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.008665,0.008692,0.008703,0.008665,0.339110,0.331076,0.329814,45719.666667,0.985333
6taxa,9,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.100182,0.105011,0.105025,0.100182,0.399799,0.300837,0.299364,46398.333333,1.000000
6taxa,9,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.010670,0.010716,0.010727,0.010670,0.340446,0.329537,0.330016,45925.000000,0.997870
6taxa,9,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.007338,0.007354,0.007365,0.007338,0.338225,0.329653,0.332122,46038.333333,0.956818
6taxa,10,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.094380,0.098673,0.098688,0.094380,0.395983,0.301131,0.302886,46152.666667,1.000000
6taxa,10,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.016295,0.016415,0.016427,0.016295,0.344195,0.325918,0.329887,46040.750000,0.999998
6taxa,10,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.006953,0.006966,0.006977,0.006953,0.337968,0.334702,0.327330,46122.666667,0.899046
6taxa,11,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.099100,0.103827,0.103841,0.099100,0.399088,0.301730,0.299183,46324.000000,1.000000
6taxa,11,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.007455,0.007472,0.007483,0.007455,0.338303,0.330938,0.330759,46091.750000,0.963064
6taxa,11,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.010718,0.010764,0.010775,0.010718,0.340478,0.331734,0.327787,45859.000000,0.997677
6taxa,12,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.097194,0.101743,0.101757,0.097194,0.397834,0.301198,0.300968,46266.333333,1.000000
6taxa,12,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.013273,0.013349,0.013360,0.013273,0.342181,0.328896,0.328923,46010.750000,0.999896
6taxa,12,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.009861,0.009898,0.009909,0.009861,0.339907,0.331078,0.329015,45874.333333,0.995007
6taxa,13,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.102152,0.107169,0.107184,0.102152,0.401093,0.298469,0.300439,46363.333333,1.000000
6taxa,13,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.011278,0.011330,0.011341,0.011278,0.340852,0.329058,0.330090,46043.500000,0.998895
6taxa,13,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.012047,0.012108,0.012120,0.012047,0.341364,0.328237,0.330399,45933.333333,0.999516
6taxa,14,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.009474,0.009508,0.009519,0.009474,0.339649,0.328534,0.331817,46004.333333,0.992431
6taxa,14,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.009741,0.009777,0.009788,0.009741,0.339827,0.329815,0.330358,45994.000000,0.994658
6taxa,14,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.104026,0.109226,0.109240,0.104026,0.402323,0.297094,0.300583,46425.333333,1.000000
6taxa,15,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.100949,0.105850,0.105865,0.100949,0.400302,0.299491,0.300207,46076.000000,1.000000
6taxa,15,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.012988,0.013061,0.013072,0.012988,0.341992,0.330490,0.327519,45948.500000,0.999840
6taxa,15,100000,astral-bp,"Out,TaxonE","TaxonA,TaxonB,TaxonC,TaxonD",0.006157,0.006165,0.006176,0.006157,0.337438,0.331934,0.330628,45965.000000,0.908832
6taxa,16,100000,astral-bp,"Out,TaxonC,TaxonD,TaxonE","TaxonA,TaxonB",0.102111,0.107124,0.107138,0.102111,0.401066,0.299262,0.299672,46357.333333,1.000000
6taxa,16,100000,astral-bp,"Out,TaxonD,TaxonE","TaxonA,TaxonB,TaxonC",0.008691,0.008717,0.008728,0.008691,0.339127,0.331932,0.328942,46072.000000,0.984986
