NRET,NREP,BIPA,BIPB,BRLN_TRUE,AVG_BRLN_MAP_GT,STD_BRLN_MAP_GT,NREPL_EGTT_MAP_GT,AVG_AERR_MAP_GT,STD_AERR_MAP_GT,AVG_PERR_MAP_GT,STD_PERR_MAP_GT,AVG_BRLN_MLE_GT,STD_BRLN_MLE_GT,NREPL_EGTT_MLE_GT,AVG_AERR_MLE_GT,STD_AERR_MLE_GT,AVG_PERR_MLE_GT,STD_PERR_MLE_GT,AVG_BRLN_MLE_RI,STD_BRLN_MLE_RI,NREPL_EGTT_MLE_RI,AVG_AERR_MLE_RI,STD_AERR_MLE_RI,AVG_PERR_MLE_RI,STD_PERR_MLE_RI,AVG_Q1,AVG_Q2,AVG_Q3,AVG_EN,AVG_PP,STD_Q1,STD_Q2,STD_Q3,STD_EN,STD_PP
50,4,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.2209165,0.2209165,2.0,0.22091649999999996,0.12091649999999997,220.91649999999996,120.91649999999996,1.223583,0.935901,3.0,1.123583,0.9359009999999999,1123.5829999999999,935.901,0.918648,0.66102,3.0,0.818648,0.66102,818.6479999999999,661.02,,,,1.30625,0.5773659999999999,,,,0.7706277879106099,0.20521283314768596
100,3,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.146301,0.03139241654710046,3.0,0.046301,0.03139241654710046,46.300999999999995,31.39241654710046,0.655387,0.16218866413121066,3.0,0.5553870000000001,0.16218866413121066,555.3870000000001,162.1886641312107,0.5379039999999999,0.11736769981841963,3.0,0.4379039999999999,0.11736769981841966,437.90399999999994,117.36769981841964,0.6494300000000001,0.075338,0.275232,1.9124756666666667,0.5624976666666667,0.053590083336378595,0.05702669818602511,0.1007563809492977,0.21465123647028506,0.02912345913902099
500,9,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.12034877777777776,0.08548059675060479,4.0,0.07391700000000001,0.04751086495622752,73.91699999999999,47.51086495622752,0.18393255555555554,0.10196802058936703,6.0,0.09400344444444445,0.09276585329516591,94.00344444444444,92.76585329516593,0.16769533333333334,0.08727214729925134,6.0,0.07994955555555555,0.0762046876235476,79.94955555555555,76.2046876235476,0.4425057777777778,0.30442644444444444,0.253068,11.613734666666666,0.555412,0.05514122030805748,0.07914435779301729,0.05055209891015626,1.4798357481063007,0.12846081526459513
1000,14,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.1585655,0.07298214898350146,11.0,0.07824321428571428,0.05132554216703216,78.24321428571429,51.325542167032154,0.1917009285714286,0.0805057207980227,11.0,0.10106907142857144,0.06837597664851125,101.06907142857143,68.37597664851124,0.17534300000000003,0.06969203153773854,11.0,0.08599642857142856,0.05601929294284538,85.99642857142858,56.019292942845375,0.4478475714285714,0.27692171428571427,0.2752307857142857,23.953273857142865,0.6972819285714287,0.044382676282071855,0.05022959281344098,0.040029685970322734,2.8728541568650816,0.13766625609861405
5000,23,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.08869747826086957,0.033546770070493684,7.0,0.025780000000000004,0.02425952142615527,25.78,24.259521426155274,0.09466817391304348,0.03420495595498988,10.0,0.02442321739130435,0.024533932289004075,24.423217391304345,24.533932289004074,0.09027665217391304,0.031423389106245286,7.0,0.0237034347826087,0.022806140738322683,23.703434782608696,22.806140738322682,0.3931966086956522,0.3041752173913044,0.3026280434782609,108.61050734782607,0.7304305217391304,0.020646567647662158,0.03312148824890431,0.028880236494091095,10.013506948129166,0.13145574824115083
10000,24,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.09265666666666666,0.026379182726262683,10.0,0.02263208333333333,0.015413456125835489,22.632083333333338,15.413456125835488,0.09569325000000001,0.02660772211885427,11.0,0.02257991666666667,0.014719590185975136,22.579916666666666,14.719590185975136,0.09137858333333333,0.024543973105966135,9.0,0.02138141666666667,0.014817910193176891,21.381416666666667,14.817910193176893,0.39395658333333333,0.3026568333333333,0.3033865416666667,214.00752304166667,0.8733757916666667,0.016171432125605192,0.01819135708394389,0.01982887186860607,13.129079525384576,0.10535032643675858
50000,25,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.10230736,0.01077965338915867,13.0,0.008781119999999998,0.006664590678023669,8.781119999999998,6.664590678023669,0.10293072,0.010798686544279356,13.0,0.0088232,0.006881271144200031,8.8232,6.8812711442000305,0.09822812,0.009855576319302691,10.0,0.00844876,0.005374978863437514,8.448759999999998,5.374978863437513,0.39850531999999994,0.30167208,0.2998226,1062.72638892,0.99993636,0.006474093009650074,0.007513699163102035,0.00712223494136496,27.34258854433505,0.0001243189060440953
100000,25,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF","TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonM,TaxonN,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ",0.1,0.10482912000000001,0.01221135979101427,14.0,0.0089048,0.009651022996553267,8.9048,9.651022996553266,0.10514375999999999,0.01222304856991086,14.0,0.00895096,0.009784758472154534,8.950959999999998,9.784758472154532,0.10024064,0.011106093159630886,11.0,0.007925519999999998,0.007783915827499677,7.925520000000001,7.783915827499678,0.39982528,0.30019248,0.29998212,2117.9313889999994,1.0,0.007283151655814939,0.007360720612114006,0.005907578511166822,38.91323141527131,0.0
10,9,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonM,TaxonN",0.6,,,0.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,0.2222222222222222,0.40740722222222225,,,,0.41573970964154905,0.13858018037365613
50,11,"TaxonA,TaxonB,TaxonC,TaxonD,TaxonE,TaxonF,TaxonG,TaxonH,TaxonI,TaxonJ,TaxonK,TaxonL,TaxonO,TaxonP,TaxonQ,TaxonR,TaxonS,TaxonT,TaxonU,TaxonV,TaxonW,TaxonX,TaxonY,TaxonZ","TaxonM,TaxonN",0.6,0.40256525,0.22401446831887334,4.0,0.24400825,0.17211315015328577,40.668041666666674,28.68552502554763,0.9852727500000001,0.3463151518403252,11.0,0.38527275000000005,0.3463151518403252,64.21212500000001,57.71919197338753,0.77091325,0.2404100885782198,9.0,0.20377024999999996,0.21327455293749303,33.96170833333333,35.5457588229155,0.904429,0.060606,0.034964999999999996,2.227272727272727,0.7459872727272727,0.13504371492224287,0.12856474074177568,0.07711089389963002,1.3792201635438837,0.15034587144683234
