MODL,NRET,MTHD,THRC,AVG_FN,AVG_FP,AVG_FNR,AVG_FPR,STD_FN,STD_FP,STD_FNR,STD_FPR,SE_FN,SE_FP,SE_FNR,SE_FPR,NREP
Palaeognathae,100,astral-bp,0.6,3.16,0.48,0.316,0.060476190476190475,0.7310266752998826,0.4995998398718719,0.07310266752998827,0.06342784450701242,0.14620533505997652,0.09991996797437439,0.014620533505997655,0.012685568901402483,25
Palaeognathae,500,astral-bp,0.6,1.84,0.36,0.18400000000000002,0.041111111111111105,0.6740919818541087,0.48,0.06740919818541087,0.05492419017761361,0.13481839637082174,0.096,0.013481839637082174,0.010984838035522722,25
Palaeognathae,1000,astral-bp,0.6,1.64,0.28,0.16400000000000003,0.03022222222222222,0.6248199740725323,0.448998886412873,0.062481997407253236,0.04853610085719446,0.12496399481450646,0.0897997772825746,0.012496399481450647,0.009707220171438892,25
Palaeognathae,5000,astral-bp,0.6,1.0,0.16,0.1,0.016888888888888887,0.565685424949238,0.36660605559646714,0.05656854249492381,0.038761059751849146,0.1131370849898476,0.07332121111929343,0.011313708498984762,0.007752211950369829,25
Palaeognathae,10000,astral-bp,0.6,0.8,0.16,0.08000000000000002,0.016444444444444442,0.565685424949238,0.3666060555964672,0.05656854249492381,0.0377280718750297,0.1131370849898476,0.07332121111929343,0.011313708498984762,0.00754561437500594,25
Palaeognathae,50000,astral-bp,0.6,0.16,0.04,0.016,0.004,0.36660605559646714,0.19595917942265428,0.036660605559646724,0.019595917942265426,0.07332121111929343,0.03919183588453086,0.007332121111929345,0.003919183588453085,25
Palaeognathae,100000,astral-bp,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Palaeognathae,10,astral-bp,0.7,7.52,0.04,0.752,0.013333333333333332,0.7547184905645283,0.19595917942265428,0.07547184905645286,0.06531972647421808,0.15094369811290567,0.03919183588453086,0.015094369811290573,0.013063945294843615,25
Palaeognathae,50,astral-bp,0.7,4.08,0.2,0.40800000000000003,0.028571428571428567,0.6273754856543249,0.48989794855663565,0.0627375485654325,0.06998542122237651,0.12547509713086497,0.09797958971132713,0.0125475097130865,0.013997084244475303,25
Palaeognathae,100,astral-bp,0.7,3.52,0.28,0.35200000000000004,0.038968253968253964,0.699714227381436,0.448998886412873,0.06997142273814361,0.06306123672050508,0.1399428454762872,0.0897997772825746,0.013994284547628721,0.012612247344101015,25
Palaeognathae,500,astral-bp,0.7,2.08,0.24,0.20800000000000002,0.027222222222222224,0.48332183894378283,0.4270831300812524,0.04833218389437828,0.04850862211765127,0.09666436778875656,0.08541662601625048,0.009666436778875655,0.009701724423530254,25
Palaeognathae,1000,astral-bp,0.7,1.68,0.08,0.168,0.008888888888888889,0.6144916598294886,0.2712931993250107,0.06144916598294887,0.030143688813890082,0.12289833196589772,0.054258639865002144,0.012289833196589774,0.006028737762778016,25
Palaeognathae,5000,astral-bp,0.7,1.2,0.08,0.12000000000000002,0.008444444444444444,0.5656854249492381,0.2712931993250107,0.0565685424949238,0.02867958365315854,0.11313708498984762,0.054258639865002144,0.01131370849898476,0.005735916730631708,25
Palaeognathae,10000,astral-bp,0.7,0.96,0.04,0.096,0.004,0.5276362383309168,0.19595917942265428,0.05276362383309168,0.019595917942265426,0.10552724766618335,0.03919183588453086,0.010552724766618336,0.003919183588453085,25
Palaeognathae,50000,astral-bp,0.7,0.24,0.04,0.024000000000000004,0.004,0.4270831300812524,0.19595917942265428,0.04270831300812525,0.019595917942265426,0.08541662601625048,0.03919183588453086,0.00854166260162505,0.003919183588453085,25
Palaeognathae,100000,astral-bp,0.7,0.04,0.0,0.004,0.0,0.19595917942265428,0.0,0.019595917942265426,0.0,0.03919183588453086,0.0,0.003919183588453085,0.0,25
Palaeognathae,10,astral-bp,0.8,7.6,0.04,0.76,0.013333333333333332,0.6928203230275509,0.19595917942265428,0.06928203230275513,0.06531972647421808,0.13856406460551018,0.03919183588453086,0.013856406460551026,0.013063945294843615,25
Palaeognathae,50,astral-bp,0.8,4.32,0.12,0.43199999999999994,0.019047619047619046,0.6144916598294886,0.32496153618543844,0.061449165982948854,0.051727526148572456,0.12289833196589772,0.06499230723708768,0.01228983319658977,0.010345505229714492,25
Palaeognathae,100,astral-bp,0.8,3.64,0.16,0.364,0.022142857142857145,0.6248199740725324,0.36660605559646714,0.06248199740725324,0.050829848213306265,0.12496399481450648,0.07332121111929343,0.012496399481450648,0.010165969642661253,25
Palaeognathae,500,astral-bp,0.8,2.36,0.04,0.236,0.005,0.5571355310873648,0.19595917942265426,0.05571355310873647,0.024494897427831782,0.11142710621747295,0.03919183588453085,0.011142710621747294,0.004898979485566357,25
Palaeognathae,1000,astral-bp,0.8,1.84,0.0,0.18400000000000002,0.0,0.463033476111609,0.0,0.04630334761116091,0.0,0.0926066952223218,0.0,0.009260669522232182,0.0,25
Palaeognathae,5000,astral-bp,0.8,1.44,0.04,0.14400000000000002,0.004,0.4963869458396342,0.19595917942265426,0.04963869458396343,0.019595917942265426,0.09927738916792685,0.03919183588453085,0.009927738916792685,0.003919183588453085,25
Palaeognathae,10000,astral-bp,0.8,1.24,0.0,0.124,0.0,0.5851495535331118,0.0,0.05851495535331117,0.0,0.11702991070662236,0.0,0.011702991070662234,0.0,25
Palaeognathae,50000,astral-bp,0.8,0.4,0.04,0.04,0.004,0.4898979485566356,0.19595917942265428,0.048989794855663564,0.019595917942265426,0.09797958971132711,0.03919183588453086,0.009797958971132713,0.003919183588453085,25
Palaeognathae,100000,astral-bp,0.8,0.2,0.0,0.02,0.0,0.4,0.0,0.04,0.0,0.08,0.0,0.008,0.0,25
Palaeognathae,10,astral-bp,0.9,8.6,0.0,0.86,0.0,0.7483314773547882,0.0,0.07483314773547882,0.0,0.14966629547095764,0.0,0.014966629547095763,0.0,25
Palaeognathae,50,astral-bp,0.9,4.88,0.04,0.48800000000000004,0.005714285714285714,0.6523802572120037,0.19595917942265428,0.06523802572120035,0.027994168488950606,0.13047605144240074,0.03919183588453086,0.013047605144240072,0.005598833697790121,25
Palaeognathae,100,astral-bp,0.9,3.88,0.08,0.38799999999999996,0.010714285714285714,0.6523802572120037,0.2712931993250107,0.06523802572120037,0.03642156795423418,0.13047605144240074,0.054258639865002144,0.013047605144240073,0.007284313590846836,25
Palaeognathae,500,astral-bp,0.9,2.44,0.04,0.24400000000000002,0.005,0.5713142742834281,0.19595917942265426,0.0571314274283428,0.024494897427831782,0.11426285485668561,0.03919183588453085,0.011426285485668559,0.004898979485566357,25
Palaeognathae,1000,astral-bp,0.9,2.0,0.0,0.20000000000000004,0.0,0.282842712474619,0.0,0.0282842712474619,0.0,0.0565685424949238,0.0,0.00565685424949238,0.0,25
Palaeognathae,5000,astral-bp,0.9,1.68,0.0,0.168,0.0,0.46647615158762407,0.0,0.0466476151587624,0.0,0.09329523031752482,0.0,0.00932952303175248,0.0,25
Palaeognathae,10000,astral-bp,0.9,1.56,0.0,0.15600000000000003,0.0,0.5713142742834281,0.0,0.057131427428342804,0.0,0.11426285485668561,0.0,0.01142628548566856,0.0,25
Palaeognathae,50000,astral-bp,0.9,0.64,0.0,0.064,0.0,0.48000000000000004,0.0,0.048,0.0,0.096,0.0,0.009600000000000001,0.0,25
Palaeognathae,100000,astral-bp,0.9,0.36,0.0,0.036000000000000004,0.0,0.48000000000000004,0.0,0.048,0.0,0.096,0.0,0.009600000000000001,0.0,25
