MODL,NRET,MTHD,THRC,AVG_FNR,AVG_FPR,STD_FNR,STD_FPR,SE_FNR,SE_FPR,NREP
26taxa,50,dollo-strict,0.0,0.42434792,0.08000004000000001,0.06986890231049576,0.06231818552074827,0.013973780462099152,0.012463637104149654,25
26taxa,50,astrid-bp,0.0,0.30434788,0.30434788,0.08782169080737173,0.08782169080737173,0.017564338161474347,0.017564338161474347,25
26taxa,50,astral-bp,0.0,0.34608695999999994,0.34608695999999994,0.0948424048161918,0.0948424048161918,0.01896848096323836,0.01896848096323836,25
26taxa,50,mdc-bp,0.0,0.36173908,0.36173908,0.08131242580709053,0.08131242580709053,0.016262485161418105,0.016262485161418105,25
26taxa,50,mdc-bp-ur,0.0,0.41217404,0.09391324,0.07183258941036721,0.053150291486899676,0.014366517882073443,0.010630058297379934,25
26taxa,100,parsimony-strict,0.0,0.30956524,0.08173923999999999,0.08895100109578533,0.06309007760291946,0.017790200219157067,0.012618015520583892,25
26taxa,100,camin-sokal-strict,0.0,0.3095652,0.0765218,0.08000000869599953,0.058046402662697366,0.016000001739199906,0.011609280532539474,25
26taxa,100,dollo-strict,0.0,0.32869564000000007,0.08521748000000001,0.06399428604047708,0.05699474991970401,0.012798857208095416,0.011398949983940802,25
26taxa,100,astrid-bp,0.0,0.2191306,0.2191306,0.06899771257309911,0.06899771257309911,0.013799542514619822,0.013799542514619822,25
26taxa,100,astral-bp,0.0,0.25043492,0.25043492,0.07200081490867725,0.07200081490867725,0.014400162981735451,0.014400162981735451,25
26taxa,100,mdc-bp,0.0,0.2626088,0.2626088,0.06899765712080375,0.06899765712080375,0.013799531424160748,0.013799531424160748,25
26taxa,100,mdc-bp-ur,0.0,0.306087,0.1130436,0.07325023945626391,0.05217386666751851,0.014650047891252783,0.010434773333503702,25
26taxa,500,parsimony-strict,0.0,0.13565236,0.050434799999999995,0.05938557507602667,0.050224553451872524,0.011877115015205334,0.010044910690374505,25
26taxa,500,camin-sokal-strict,0.0,0.08347816,0.046956439999999995,0.06613272598203102,0.05205785026992951,0.013226545196406203,0.010411570053985903,25
26taxa,500,dollo-strict,0.0,0.1373914,0.08000004000000001,0.0724196301294062,0.06469943616847369,0.014483926025881241,0.012939887233694738,25
26taxa,500,astrid-bp,0.0,0.07130452000000001,0.07130452000000001,0.0505247812306951,0.0505247812306951,0.01010495624613902,0.01010495624613902,25
26taxa,500,astral-bp,0.0,0.08347824,0.08347824,0.06497928597162637,0.06497928597162637,0.012995857194325274,0.012995857194325274,25
26taxa,500,mdc-bp,0.0,0.10434804,0.10434804,0.06024513227040338,0.06024513227040338,0.012049026454080677,0.012049026454080677,25
26taxa,500,mdc-bp-ur,0.0,0.11130452000000002,0.09913064000000002,0.06516505211176923,0.055706454453235486,0.013033010422353847,0.011141290890647098,25
26taxa,1000,parsimony-strict,0.0,0.06608704,0.03130428,0.04100825872965591,0.0337230375791031,0.008201651745931182,0.00674460751582062,25
26taxa,1000,camin-sokal-strict,0.0,0.04347816,0.027826,0.030122730680574097,0.027166096963678825,0.0060245461361148195,0.005433219392735765,25
26taxa,1000,dollo-strict,0.0,0.078261,0.06608699999999999,0.047628127859910684,0.049374256091206076,0.009525625571982136,0.009874851218241215,25
26taxa,1000,astrid-bp,0.0,0.03304348,0.03304348,0.03318061984848385,0.03318061984848385,0.00663612396969677,0.00663612396969677,25
26taxa,1000,astral-bp,0.0,0.03826084,0.03826084,0.03950554690134539,0.03950554690134539,0.007901109380269078,0.007901109380269078,25
26taxa,1000,mdc-bp,0.0,0.027826119999999996,0.027826119999999996,0.034520888918241954,0.034520888918241954,0.006904177783648391,0.006904177783648391,25
26taxa,1000,mdc-bp-ur,0.0,0.027826119999999996,0.027826119999999996,0.034520888918241954,0.034520888918241954,0.006904177783648391,0.006904177783648391,25
26taxa,5000,parsimony-strict,0.0,0.01217384,0.01043472,0.01952157358345889,0.018568720329672692,0.003904314716691778,0.0037137440659345384,25
26taxa,5000,camin-sokal-strict,0.0,0.029565039999999997,0.02260856,0.020281450118726715,0.02172160183794924,0.004056290023745343,0.004344320367589848,25
26taxa,5000,dollo-strict,0.0,0.04347828,0.02608692,0.040786363043076056,0.030122684492481743,0.00815727260861521,0.006024536898496349,25
26taxa,5000,astrid-bp,0.0,0.0034782399999999996,0.0034782399999999996,0.011795285720252815,0.011795285720252815,0.002359057144050563,0.002359057144050563,25
26taxa,5000,astral-bp,0.0,0.0034782399999999996,0.0034782399999999996,0.011795285720252815,0.011795285720252815,0.002359057144050563,0.002359057144050563,25
